City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Busselton,AU,2021-10-24 21:52:55,-33.65,115.3333,56.05,77,100,10.36,overcast clouds
60,Tura,IN,2021-10-24 21:57:17,25.5198,90.2201,66.81,96,12,2.39,few clouds
61,Qaqortoq,GL,2021-10-24 21:57:18,60.7167,-46.0333,30.65,79,100,5.57,overcast clouds
62,Qaanaaq,GL,2021-10-24 21:56:43,77.484,-69.3632,-4.61,62,0,11.97,clear sky
63,Lerwick,GB,2021-10-24 21:57:18,60.1545,-1.1494,51.8,87,90,18.21,overcast clouds
64,Sredniy Ikorets,RU,2021-10-24 21:57:19,51.0675,39.7584,37.33,70,63,12.75,broken clouds
65,Eskisehir,TR,2021-10-24 21:57:19,39.7767,30.5206,45.18,88,78,9.35,broken clouds
66,Mbeya,TZ,2021-10-24 21:57:20,-8.9,33.45,63.95,53,3,5.86,clear sky
67,Ginir,ET,2021-10-24 21:57:20,7.1333,40.7,57.36,51,69,5.77,broken clouds
68,Punta Arenas,CL,2021-10-24 21:56:00,-53.15,-70.9167,46.51,36,75,33.38,broken clouds
69,Port Alfred,ZA,2021-10-24 21:57:21,-33.5906,26.891,60.24,75,64,11.74,broken clouds
70,Tondano,ID,2021-10-24 21:57:22,1.3038,124.9112,66.29,91,47,0.27,scattered clouds
71,Te Anau,NZ,2021-10-24 21:55:43,-45.4167,167.7167,54.32,94,100,0.38,moderate rain
72,Aranjuez,ES,2021-10-24 21:57:22,40.0311,-3.6025,62.26,38,0,2.35,clear sky
73,Los Llanos De Aridane,ES,2021-10-24 21:57:23,28.6585,-17.9182,67.75,88,75,8.05,broken clouds
74,Ponta Do Sol,PT,2021-10-24 21:57:08,32.6667,-17.1,71.71,72,97,6.35,overcast clouds
75,Manikpur,IN,2021-10-24 21:57:23,25.0667,81.1167,72.18,57,18,2.57,few clouds
76,Olafsvik,IS,2021-10-24 21:57:24,64.8945,-23.7142,42.55,90,100,21.36,overcast clouds
77,New Norfolk,AU,2021-10-24 21:53:17,-42.7826,147.0587,50.67,62,99,3.0,overcast clouds
78,Plettenberg Bay,ZA,2021-10-24 21:53:05,-34.0527,23.3716,54.55,74,0,4.54,clear sky
79,Vaini,TO,2021-10-24 21:57:25,-21.2,-175.2,78.96,73,20,12.66,few clouds
80,Acapulco,MX,2021-10-24 21:55:43,16.8634,-99.8901,74.77,91,100,12.59,overcast clouds
81,Port-Gentil,GA,2021-10-24 21:57:07,-0.7193,8.7815,80.56,83,75,8.05,broken clouds
82,Guane,CU,2021-10-24 21:57:26,22.2025,-84.0875,82.94,76,97,7.74,overcast clouds
83,Kodinsk,RU,2021-10-24 21:57:26,58.6881,99.1844,38.21,91,100,11.65,overcast clouds
