City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Mecca,SA,79.86,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
228,Sur,OM,81.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
229,Surt,LY,76.05,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
230,Sotouboua,TG,77.04,overcast clouds,8.5667,0.9833,Auberge Médina
232,Kokopo,PG,81.39,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
238,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
242,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
244,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
245,Sulangan,PH,82.58,overcast clouds,11.1373,123.7228,Maia's Beach Resort
247,Pilar,BR,78.73,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
249,Wau,SS,78.37,few clouds,7.7029,27.9953,Universal Gab Hotel
253,Lodwar,KE,86.67,few clouds,3.1191,35.5973,Solmar Gracious Hotel
255,Beinamar,TD,76.96,broken clouds,8.6698,15.3813,
256,Bartica,GY,80.92,light rain,6.4,-58.6167,Sloth Island Nature Resort
257,Vigia Del Fuerte,CO,77.94,overcast clouds,6.5789,-76.8863,"Hotel ""El Parque"""
258,Waddan,LY,80.01,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
265,Goundam,ML,94.53,scattered clouds,16.4145,-3.6708,
266,Howard Springs,AU,82.81,few clouds,-12.497,131.047,buffalo beach hostel
268,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
273,Arraial Do Cabo,BR,75.06,light rain,-22.9661,-42.0278,Pousada Porto Praia
279,Mlimba,TZ,79.48,clear sky,-8.8,35.8167,California Lodge
282,Tarpon Springs,US,84.94,scattered clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
283,Poum,NC,76.19,scattered clouds,-20.2333,164.0167,Gîte kajeon
288,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
296,Carauari,BR,83.91,broken clouds,-4.8828,-66.8958,Hotel Fellip
297,Cotonou,BJ,80.58,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
304,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
306,Qui Nhon,VN,77.67,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
307,Faanui,PF,76.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
309,Majene,ID,78.66,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
315,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
316,Souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
318,Manggar,ID,78.71,few clouds,-2.8833,108.2667,Guest Hotel
328,Padang,ID,76.37,moderate rain,-0.9492,100.3543,Mercure Padang
332,Sao Raimundo Das Mangabeiras,BR,81.55,broken clouds,-7.0219,-45.4811,Hotel Tropical
338,Wahiawa,US,79.79,broken clouds,21.5028,-158.0236,Aloha Wahiawa
